gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,salary,output
1.0,67.0,1.0,91.0,1.0,1.0,58.0,2.0,0.0,55.0,1.0,58.8,270000.0,1
1.0,79.33,0.0,78.33,1.0,2.0,77.48,2.0,1.0,86.5,0.0,66.28,200000.0,1
1.0,65.0,0.0,68.0,0.0,0.0,64.0,0.0,0.0,75.0,0.0,57.8,250000.0,1
1.0,56.0,0.0,52.0,0.0,2.0,52.0,2.0,0.0,66.0,1.0,59.43,288655.4054054054,0
1.0,85.8,0.0,73.6,0.0,1.0,73.3,0.0,0.0,96.8,0.0,55.5,425000.0,1
1.0,55.0,1.0,49.8,1.0,2.0,67.25,2.0,1.0,55.0,0.0,51.58,288655.4054054054,0
0.0,46.0,1.0,49.2,1.0,1.0,79.0,0.0,0.0,74.28,0.0,53.29,288655.4054054054,0
1.0,82.0,0.0,64.0,0.0,2.0,66.0,2.0,1.0,67.0,0.0,62.14,252000.0,1
1.0,73.0,0.0,79.0,0.0,1.0,72.0,0.0,0.0,91.34,0.0,61.29,231000.0,1
1.0,58.0,0.0,70.0,0.0,1.0,61.0,0.0,0.0,54.0,0.0,52.21,288655.4054054054,0
1.0,58.0,0.0,61.0,0.0,1.0,60.0,0.0,1.0,62.0,1.0,60.85,260000.0,1
1.0,69.6,0.0,68.4,0.0,1.0,78.3,0.0,1.0,60.0,0.0,63.7,250000.0,1
0.0,47.0,0.0,55.0,1.0,2.0,65.0,0.0,0.0,62.0,1.0,65.04,288655.4054054054,0
0.0,77.0,0.0,87.0,0.0,1.0,59.0,0.0,0.0,68.0,0.0,68.63,218000.0,1
1.0,62.0,0.0,47.0,0.0,1.0,50.0,0.0,0.0,76.0,1.0,54.96,288655.4054054054,0
0.0,65.0,0.0,75.0,0.0,1.0,69.0,0.0,1.0,72.0,0.0,64.66,200000.0,1
1.0,63.0,0.0,66.2,0.0,1.0,65.6,0.0,1.0,60.0,0.0,62.54,300000.0,1
0.0,55.0,0.0,67.0,0.0,1.0,64.0,0.0,0.0,60.0,0.0,67.28,288655.4054054054,0
0.0,63.0,0.0,66.0,0.0,1.0,64.0,0.0,0.0,68.0,1.0,64.08,288655.4054054054,0
1.0,60.0,1.0,67.0,1.0,0.0,70.0,0.0,1.0,50.48,0.0,77.89,236000.0,1
1.0,62.0,1.0,65.0,1.0,1.0,66.0,0.0,0.0,50.0,1.0,56.7,265000.0,1
0.0,79.0,1.0,76.0,1.0,1.0,85.0,0.0,0.0,95.0,0.0,69.06,393000.0,1
0.0,69.8,1.0,60.8,1.0,2.0,72.23,2.0,0.0,55.53,1.0,68.81,360000.0,1
0.0,77.4,1.0,60.0,1.0,2.0,64.74,2.0,1.0,92.0,0.0,63.62,300000.0,1
1.0,76.5,1.0,97.7,1.0,2.0,78.86,2.0,0.0,97.4,0.0,74.01,360000.0,1
0.0,52.58,1.0,54.6,0.0,1.0,50.2,0.0,1.0,76.0,0.0,65.33,288655.4054054054,0
1.0,71.0,1.0,79.0,1.0,1.0,66.0,0.0,1.0,94.0,0.0,57.55,240000.0,1
1.0,63.0,1.0,67.0,1.0,1.0,66.0,0.0,0.0,68.0,1.0,57.69,265000.0,1
1.0,76.76,1.0,76.5,1.0,1.0,67.5,0.0,1.0,73.35,0.0,64.15,350000.0,1
1.0,62.0,0.0,67.0,0.0,1.0,58.0,0.0,0.0,77.0,0.0,51.29,288655.4054054054,0
0.0,64.0,0.0,73.5,0.0,1.0,73.0,0.0,0.0,52.0,1.0,56.7,250000.0,1
0.0,67.0,0.0,53.0,0.0,2.0,65.0,2.0,0.0,64.0,1.0,58.32,288655.4054054054,0
0.0,61.0,0.0,81.0,0.0,1.0,66.4,0.0,0.0,50.89,1.0,62.21,278000.0,1
0.0,87.0,1.0,65.0,1.0,2.0,81.0,0.0,1.0,88.0,0.0,72.78,260000.0,1
1.0,62.0,1.0,51.0,1.0,2.0,52.0,1.0,0.0,68.44,1.0,62.77,288655.4054054054,0
0.0,69.0,0.0,78.0,0.0,1.0,72.0,0.0,0.0,71.0,1.0,62.74,300000.0,1
1.0,51.0,0.0,44.0,0.0,1.0,57.0,0.0,0.0,64.0,0.0,51.45,288655.4054054054,0
0.0,79.0,0.0,76.0,0.0,2.0,65.6,2.0,0.0,58.0,1.0,55.47,320000.0,1
0.0,73.0,1.0,58.0,1.0,2.0,66.0,0.0,0.0,53.7,1.0,56.86,240000.0,1
1.0,81.0,1.0,68.0,1.0,2.0,64.0,2.0,0.0,93.0,0.0,62.56,411000.0,1
0.0,78.0,0.0,77.0,1.0,1.0,80.0,0.0,0.0,60.0,0.0,66.72,287000.0,1
0.0,74.0,1.0,63.16,1.0,1.0,65.0,0.0,1.0,65.0,1.0,69.76,288655.4054054054,0
1.0,49.0,1.0,39.0,0.0,2.0,65.0,1.0,0.0,63.0,0.0,51.21,288655.4054054054,0
1.0,87.0,1.0,87.0,1.0,1.0,68.0,0.0,0.0,95.0,1.0,62.9,300000.0,1
0.0,77.0,1.0,73.0,1.0,1.0,81.0,0.0,1.0,89.0,0.0,69.7,200000.0,1
0.0,76.0,0.0,64.0,0.0,2.0,72.0,2.0,0.0,58.0,1.0,66.53,288655.4054054054,0
0.0,70.89,1.0,71.98,1.0,2.0,65.6,0.0,0.0,68.0,1.0,71.63,288655.4054054054,0
1.0,63.0,0.0,60.0,0.0,1.0,57.0,0.0,1.0,78.0,0.0,54.55,204000.0,1
1.0,63.0,1.0,62.0,1.0,1.0,68.0,0.0,0.0,64.0,0.0,62.46,250000.0,1
0.0,50.0,1.0,37.0,1.0,0.0,52.0,1.0,0.0,65.0,1.0,56.11,288655.4054054054,0
0.0,75.2,0.0,73.2,0.0,2.0,68.4,0.0,0.0,65.0,1.0,62.98,200000.0,1
1.0,54.4,0.0,61.12,0.0,1.0,56.2,0.0,0.0,67.0,1.0,62.65,288655.4054054054,0
0.0,40.89,1.0,45.83,1.0,1.0,53.0,0.0,0.0,71.2,1.0,65.49,288655.4054054054,0
1.0,80.0,1.0,70.0,1.0,2.0,72.0,2.0,0.0,87.0,1.0,71.04,450000.0,1
0.0,74.0,0.0,60.0,1.0,2.0,69.0,0.0,0.0,78.0,1.0,65.56,216000.0,1
1.0,60.4,0.0,66.6,1.0,2.0,65.0,0.0,0.0,71.0,1.0,52.71,220000.0,1
1.0,63.0,1.0,71.4,1.0,1.0,61.4,0.0,0.0,68.0,0.0,66.88,240000.0,1
1.0,68.0,0.0,76.0,0.0,1.0,74.0,0.0,0.0,80.0,0.0,63.59,360000.0,1
1.0,74.0,0.0,62.0,1.0,2.0,68.0,0.0,0.0,74.0,0.0,57.99,268000.0,1
1.0,52.6,0.0,65.58,1.0,2.0,72.11,2.0,0.0,57.6,0.0,56.66,265000.0,1
1.0,74.0,0.0,70.0,0.0,2.0,72.0,0.0,1.0,60.0,0.0,57.24,260000.0,1
1.0,84.2,0.0,73.4,0.0,1.0,66.89,0.0,0.0,61.6,0.0,62.48,300000.0,1
0.0,86.5,1.0,64.2,1.0,2.0,67.4,2.0,0.0,59.0,0.0,59.69,240000.0,1
1.0,61.0,1.0,70.0,1.0,1.0,64.0,0.0,0.0,68.5,1.0,59.5,288655.4054054054,0
1.0,80.0,1.0,73.0,1.0,1.0,75.0,0.0,0.0,61.0,0.0,58.78,240000.0,1
1.0,54.0,1.0,47.0,1.0,2.0,57.0,0.0,0.0,89.69,1.0,57.1,288655.4054054054,0
1.0,83.0,1.0,74.0,1.0,2.0,66.0,0.0,0.0,68.92,1.0,58.46,275000.0,1
1.0,80.92,1.0,78.5,1.0,1.0,67.0,0.0,0.0,68.71,0.0,60.99,275000.0,1
0.0,69.7,0.0,47.0,0.0,1.0,72.7,2.0,0.0,79.0,1.0,59.24,288655.4054054054,0
1.0,73.0,0.0,73.0,0.0,2.0,66.0,2.0,1.0,70.0,0.0,68.07,275000.0,1
1.0,82.0,1.0,61.0,1.0,2.0,62.0,2.0,0.0,89.0,0.0,65.45,360000.0,1
1.0,75.0,1.0,70.29,1.0,1.0,71.0,0.0,0.0,95.0,0.0,66.94,240000.0,1
1.0,84.86,1.0,67.0,1.0,2.0,78.0,0.0,0.0,95.5,0.0,68.53,240000.0,1
1.0,64.6,0.0,83.83,1.0,1.0,71.72,0.0,0.0,86.0,0.0,59.75,218000.0,1
1.0,56.6,0.0,64.8,0.0,1.0,70.2,0.0,0.0,84.27,0.0,67.2,336000.0,1
0.0,59.0,0.0,62.0,1.0,1.0,77.5,0.0,0.0,74.0,1.0,67.0,288655.4054054054,0
0.0,66.5,1.0,70.4,0.0,0.0,71.93,0.0,0.0,61.0,0.0,64.27,230000.0,1
1.0,64.0,1.0,80.0,1.0,2.0,65.0,2.0,1.0,69.0,0.0,57.65,500000.0,1
1.0,84.0,1.0,90.9,1.0,2.0,64.5,2.0,0.0,86.04,0.0,59.42,270000.0,1
0.0,69.0,0.0,62.0,0.0,2.0,66.0,2.0,0.0,75.0,1.0,67.99,288655.4054054054,0
0.0,69.0,1.0,62.0,1.0,1.0,69.0,0.0,1.0,67.0,1.0,62.35,240000.0,1
1.0,81.7,1.0,63.0,1.0,2.0,67.0,0.0,1.0,86.0,0.0,70.2,300000.0,1
1.0,63.0,0.0,67.0,0.0,1.0,74.0,0.0,0.0,82.0,0.0,60.44,288655.4054054054,0
1.0,84.0,1.0,79.0,1.0,2.0,68.0,2.0,1.0,84.0,0.0,66.69,300000.0,1
1.0,70.0,0.0,63.0,1.0,2.0,70.0,2.0,1.0,55.0,0.0,62.0,300000.0,1
0.0,83.84,1.0,89.83,1.0,1.0,77.2,0.0,1.0,78.74,0.0,76.18,400000.0,1
1.0,62.0,1.0,63.0,1.0,1.0,64.0,0.0,0.0,67.0,0.0,57.03,220000.0,1
1.0,59.6,0.0,51.0,0.0,2.0,60.0,1.0,0.0,75.0,1.0,59.08,288655.4054054054,0
0.0,66.0,0.0,62.0,0.0,1.0,73.0,0.0,0.0,58.0,1.0,64.36,210000.0,1
0.0,84.0,1.0,75.0,1.0,2.0,69.0,2.0,1.0,62.0,1.0,62.36,210000.0,1
0.0,85.0,1.0,90.0,1.0,1.0,82.0,0.0,0.0,92.0,0.0,68.03,300000.0,1
1.0,52.0,0.0,57.0,0.0,1.0,50.8,0.0,0.0,67.0,1.0,62.79,288655.4054054054,0
0.0,60.23,0.0,69.0,0.0,2.0,66.0,0.0,0.0,72.0,0.0,59.47,230000.0,1
1.0,52.0,0.0,62.0,0.0,1.0,54.0,0.0,0.0,72.0,1.0,55.41,288655.4054054054,0
1.0,58.0,0.0,62.0,0.0,1.0,64.0,0.0,0.0,53.88,0.0,54.97,260000.0,1
1.0,73.0,0.0,78.0,1.0,1.0,65.0,0.0,1.0,95.46,0.0,62.16,420000.0,1
0.0,76.0,0.0,70.0,0.0,2.0,76.0,0.0,1.0,66.0,0.0,64.44,300000.0,1
0.0,70.5,0.0,62.5,1.0,1.0,61.0,0.0,0.0,93.91,0.0,69.03,288655.4054054054,0
0.0,69.0,0.0,73.0,0.0,1.0,65.0,0.0,0.0,70.0,0.0,57.31,220000.0,1
1.0,54.0,0.0,82.0,1.0,1.0,63.0,2.0,0.0,50.0,0.0,59.47,288655.4054054054,0
0.0,45.0,1.0,57.0,1.0,1.0,58.0,0.0,1.0,56.39,1.0,64.95,288655.4054054054,0
1.0,63.0,0.0,72.0,0.0,1.0,68.0,0.0,0.0,78.0,1.0,60.44,380000.0,1
0.0,77.0,1.0,61.0,1.0,1.0,68.0,0.0,1.0,57.5,0.0,61.31,300000.0,1
1.0,73.0,0.0,78.0,0.0,2.0,73.0,2.0,1.0,85.0,1.0,65.83,240000.0,1
1.0,69.0,0.0,63.0,1.0,2.0,65.0,0.0,1.0,55.0,1.0,58.23,360000.0,1
1.0,59.0,0.0,64.0,1.0,2.0,58.0,2.0,0.0,85.0,1.0,55.3,288655.4054054054,0
1.0,61.08,1.0,50.0,1.0,2.0,54.0,2.0,0.0,71.0,0.0,65.69,288655.4054054054,0
1.0,82.0,1.0,90.0,1.0,1.0,83.0,0.0,0.0,80.0,1.0,73.52,200000.0,1
1.0,61.0,0.0,82.0,0.0,1.0,69.0,0.0,0.0,84.0,0.0,58.31,300000.0,1
1.0,52.0,0.0,63.0,1.0,2.0,65.0,2.0,1.0,86.0,1.0,56.09,288655.4054054054,0
0.0,69.5,0.0,70.0,0.0,2.0,72.0,2.0,0.0,57.2,1.0,54.8,250000.0,1
1.0,51.0,1.0,54.0,1.0,2.0,61.0,2.0,0.0,60.0,1.0,60.64,288655.4054054054,0
1.0,58.0,1.0,61.0,1.0,1.0,61.0,0.0,0.0,58.0,1.0,53.94,250000.0,1
0.0,73.96,1.0,79.0,1.0,1.0,67.0,0.0,0.0,72.15,0.0,63.08,280000.0,1
1.0,65.0,0.0,68.0,1.0,2.0,69.0,0.0,0.0,53.7,1.0,55.01,250000.0,1
0.0,73.0,1.0,63.0,1.0,2.0,66.0,0.0,0.0,89.0,0.0,60.5,216000.0,1
1.0,68.2,0.0,72.8,0.0,1.0,66.6,0.0,1.0,96.0,0.0,70.85,300000.0,1
1.0,77.0,1.0,75.0,1.0,2.0,73.0,2.0,0.0,80.0,0.0,67.05,240000.0,1
1.0,76.0,0.0,80.0,0.0,2.0,78.0,2.0,1.0,97.0,1.0,70.48,276000.0,1
1.0,60.8,0.0,68.4,0.0,1.0,64.6,0.0,1.0,82.66,0.0,64.34,940000.0,1
1.0,58.0,1.0,40.0,1.0,2.0,59.0,0.0,0.0,73.0,1.0,58.81,288655.4054054054,0
0.0,64.0,0.0,67.0,1.0,2.0,69.6,2.0,1.0,55.67,1.0,71.49,250000.0,1
0.0,66.5,0.0,66.8,0.0,0.0,69.3,0.0,1.0,80.4,0.0,71.0,236000.0,1
1.0,74.0,1.0,59.0,1.0,1.0,73.0,0.0,1.0,60.0,1.0,56.7,240000.0,1
1.0,67.0,0.0,71.0,0.0,2.0,64.33,1.0,1.0,64.0,1.0,61.26,250000.0,1
0.0,84.0,0.0,73.0,0.0,1.0,73.0,0.0,0.0,75.0,0.0,73.33,350000.0,1
0.0,79.0,1.0,61.0,1.0,2.0,75.5,2.0,1.0,70.0,0.0,68.2,210000.0,1
0.0,72.0,1.0,60.0,1.0,2.0,69.0,0.0,0.0,55.5,1.0,58.4,250000.0,1
1.0,80.4,0.0,73.4,0.0,2.0,77.72,2.0,1.0,81.2,1.0,76.26,400000.0,1
1.0,76.7,0.0,89.7,1.0,1.0,66.0,0.0,1.0,90.0,0.0,68.55,250000.0,1
1.0,62.0,0.0,65.0,1.0,1.0,60.0,0.0,0.0,84.0,0.0,64.15,288655.4054054054,0
0.0,74.9,1.0,57.0,1.0,2.0,62.0,1.0,1.0,80.0,0.0,60.78,360000.0,1
1.0,67.0,1.0,68.0,1.0,1.0,64.0,0.0,1.0,74.4,1.0,53.49,300000.0,1
1.0,73.0,0.0,64.0,1.0,1.0,77.0,0.0,1.0,65.0,1.0,60.98,250000.0,1
0.0,77.44,0.0,92.0,1.0,1.0,72.0,0.0,1.0,94.0,0.0,67.13,250000.0,1
0.0,72.0,0.0,56.0,1.0,2.0,69.0,0.0,0.0,55.6,1.0,65.63,200000.0,1
0.0,47.0,0.0,59.0,0.0,0.0,64.0,0.0,0.0,78.0,0.0,61.58,288655.4054054054,0
1.0,67.0,1.0,63.0,0.0,1.0,72.0,0.0,0.0,56.0,1.0,60.41,225000.0,1
0.0,82.0,1.0,64.0,1.0,2.0,73.0,2.0,1.0,96.0,0.0,71.77,250000.0,1
1.0,77.0,0.0,70.0,0.0,1.0,59.0,0.0,1.0,58.0,0.0,54.43,220000.0,1
1.0,65.0,0.0,64.8,1.0,1.0,69.5,0.0,1.0,56.0,0.0,56.94,265000.0,1
1.0,66.0,0.0,64.0,0.0,2.0,60.0,0.0,0.0,60.0,1.0,61.9,288655.4054054054,0
1.0,85.0,0.0,60.0,1.0,2.0,73.43,2.0,1.0,60.0,0.0,61.29,260000.0,1
1.0,77.67,1.0,64.89,1.0,1.0,70.67,0.0,0.0,89.0,0.0,60.39,300000.0,1
1.0,52.0,1.0,50.0,1.0,0.0,61.0,0.0,0.0,60.0,0.0,58.52,288655.4054054054,0
1.0,89.4,1.0,65.66,1.0,2.0,71.25,2.0,0.0,72.0,1.0,63.23,400000.0,1
1.0,62.0,0.0,63.0,1.0,2.0,66.0,0.0,0.0,85.0,1.0,55.14,233000.0,1
1.0,70.0,0.0,74.0,0.0,1.0,65.0,0.0,0.0,83.0,0.0,62.28,300000.0,1
0.0,77.0,0.0,86.0,0.0,0.0,56.0,1.0,0.0,57.0,0.0,64.08,240000.0,1
1.0,44.0,0.0,58.0,0.0,0.0,55.0,0.0,1.0,64.25,1.0,58.54,288655.4054054054,0
1.0,71.0,0.0,58.66,0.0,2.0,58.0,2.0,1.0,56.0,0.0,61.3,690000.0,1
1.0,65.0,0.0,65.0,0.0,1.0,75.0,0.0,0.0,83.0,0.0,58.87,270000.0,1
0.0,75.4,1.0,60.5,0.0,2.0,84.0,2.0,0.0,98.0,0.0,65.25,240000.0,1
1.0,49.0,1.0,59.0,1.0,2.0,65.0,2.0,1.0,86.0,0.0,62.48,340000.0,1
1.0,53.0,0.0,63.0,1.0,2.0,60.0,0.0,1.0,70.0,0.0,53.2,250000.0,1
1.0,51.57,1.0,74.66,1.0,1.0,59.9,0.0,1.0,56.15,1.0,65.99,288655.4054054054,0
1.0,84.2,0.0,69.4,0.0,2.0,65.0,2.0,1.0,80.0,1.0,52.72,255000.0,1
1.0,66.5,0.0,62.5,0.0,1.0,60.9,0.0,0.0,93.4,0.0,55.03,300000.0,1
1.0,67.0,1.0,63.0,1.0,2.0,64.0,2.0,0.0,60.0,0.0,61.87,288655.4054054054,0
1.0,52.0,0.0,49.0,1.0,1.0,58.0,0.0,0.0,62.0,1.0,60.59,288655.4054054054,0
1.0,87.0,0.0,74.0,0.0,2.0,65.0,2.0,1.0,75.0,1.0,72.29,300000.0,1
1.0,55.6,1.0,51.0,1.0,1.0,57.5,0.0,0.0,57.63,1.0,62.72,288655.4054054054,0
1.0,74.2,0.0,87.6,1.0,1.0,77.25,0.0,1.0,75.2,0.0,66.06,285000.0,1
1.0,63.0,1.0,67.0,1.0,2.0,64.0,2.0,0.0,75.0,0.0,66.46,500000.0,1
0.0,67.16,0.0,72.5,0.0,1.0,63.35,0.0,0.0,53.04,0.0,65.52,250000.0,1
0.0,63.3,0.0,78.33,1.0,1.0,74.0,0.0,0.0,80.0,0.0,74.56,288655.4054054054,0
1.0,62.0,1.0,62.0,1.0,1.0,60.0,0.0,1.0,63.0,1.0,52.38,240000.0,1
1.0,67.9,1.0,62.0,1.0,2.0,67.0,2.0,1.0,58.1,0.0,75.71,288655.4054054054,0
0.0,48.0,0.0,51.0,0.0,1.0,58.0,0.0,1.0,60.0,1.0,58.79,288655.4054054054,0
1.0,59.96,1.0,42.16,1.0,2.0,61.26,2.0,0.0,54.48,1.0,65.48,288655.4054054054,0
0.0,63.4,1.0,67.2,1.0,1.0,60.0,0.0,0.0,58.06,1.0,69.28,288655.4054054054,0
1.0,80.0,1.0,80.0,1.0,1.0,72.0,0.0,1.0,63.79,0.0,66.04,290000.0,1
1.0,73.0,1.0,58.0,1.0,1.0,56.0,0.0,0.0,84.0,1.0,52.64,300000.0,1
0.0,52.0,1.0,52.0,1.0,2.0,55.0,2.0,0.0,67.0,1.0,59.32,288655.4054054054,0
1.0,73.24,1.0,50.83,1.0,2.0,64.27,2.0,1.0,64.0,0.0,66.23,500000.0,1
1.0,63.0,1.0,62.0,1.0,2.0,65.0,2.0,0.0,87.5,1.0,60.69,288655.4054054054,0
0.0,59.0,0.0,60.0,1.0,1.0,56.0,0.0,0.0,55.0,1.0,57.9,220000.0,1
0.0,73.0,0.0,97.0,1.0,1.0,79.0,0.0,1.0,89.0,0.0,70.81,650000.0,1
1.0,68.0,1.0,56.0,1.0,2.0,68.0,2.0,0.0,73.0,1.0,68.07,350000.0,1
0.0,77.8,0.0,64.0,0.0,2.0,64.2,2.0,0.0,75.5,1.0,72.14,288655.4054054054,0
1.0,65.0,0.0,71.5,1.0,1.0,62.8,0.0,1.0,57.0,0.0,56.6,265000.0,1
1.0,62.0,0.0,60.33,1.0,2.0,64.21,2.0,0.0,63.0,1.0,60.02,288655.4054054054,0
1.0,52.0,1.0,65.0,1.0,0.0,57.0,1.0,1.0,75.0,0.0,59.81,288655.4054054054,0
1.0,65.0,0.0,77.0,0.0,1.0,69.0,0.0,0.0,60.0,1.0,61.82,276000.0,1
0.0,56.28,1.0,62.83,1.0,1.0,59.79,0.0,0.0,60.0,1.0,57.29,288655.4054054054,0
0.0,88.0,0.0,72.0,0.0,2.0,78.0,1.0,0.0,82.0,1.0,71.43,252000.0,1
0.0,52.0,0.0,64.0,0.0,1.0,61.0,0.0,0.0,55.0,0.0,62.93,288655.4054054054,0
1.0,78.5,0.0,65.5,0.0,2.0,67.0,2.0,1.0,95.0,0.0,64.86,280000.0,1
1.0,61.8,1.0,47.0,1.0,1.0,54.38,0.0,0.0,57.0,0.0,56.13,288655.4054054054,0
0.0,54.0,0.0,77.6,1.0,1.0,69.2,0.0,0.0,95.65,0.0,66.94,288655.4054054054,0
0.0,64.0,1.0,70.2,0.0,1.0,61.0,0.0,0.0,50.0,0.0,62.5,288655.4054054054,0
1.0,67.0,1.0,61.0,0.0,2.0,72.0,0.0,0.0,72.0,0.0,61.01,264000.0,1
1.0,65.2,0.0,61.4,0.0,1.0,64.8,0.0,1.0,93.4,0.0,57.34,270000.0,1
0.0,60.0,0.0,63.0,0.0,0.0,56.0,1.0,1.0,80.0,1.0,56.63,300000.0,1
1.0,52.0,1.0,55.0,1.0,1.0,56.3,0.0,0.0,59.0,0.0,64.74,288655.4054054054,0
1.0,66.0,0.0,76.0,0.0,1.0,72.0,0.0,1.0,84.0,1.0,58.95,275000.0,1
1.0,72.0,1.0,63.0,1.0,2.0,77.5,2.0,1.0,78.0,0.0,54.48,250000.0,1
0.0,83.96,1.0,53.0,1.0,2.0,91.0,2.0,0.0,59.32,1.0,69.71,260000.0,1
0.0,67.0,0.0,70.0,0.0,1.0,65.0,1.0,0.0,88.0,1.0,71.96,288655.4054054054,0
1.0,69.0,1.0,65.0,1.0,1.0,57.0,0.0,0.0,73.0,1.0,55.8,265000.0,1
1.0,69.0,1.0,60.0,1.0,1.0,65.0,0.0,0.0,87.55,0.0,52.81,300000.0,1
1.0,54.2,0.0,63.0,1.0,2.0,58.0,0.0,0.0,79.0,1.0,58.44,288655.4054054054,0
1.0,70.0,0.0,63.0,0.0,2.0,66.0,2.0,0.0,61.28,1.0,60.11,240000.0,1
1.0,55.68,1.0,61.33,1.0,1.0,56.87,0.0,0.0,66.0,1.0,58.3,260000.0,1
0.0,74.0,1.0,73.0,1.0,1.0,73.0,0.0,1.0,80.0,0.0,67.69,210000.0,1
1.0,61.0,1.0,62.0,1.0,1.0,65.0,0.0,0.0,62.0,0.0,56.81,250000.0,1
1.0,41.0,0.0,42.0,0.0,2.0,60.0,0.0,0.0,97.0,0.0,53.39,288655.4054054054,0
1.0,83.33,0.0,78.0,1.0,1.0,61.0,0.0,1.0,88.56,0.0,71.55,300000.0,1
0.0,43.0,0.0,60.0,1.0,2.0,65.0,0.0,0.0,92.66,1.0,62.92,288655.4054054054,0
1.0,62.0,0.0,72.0,0.0,1.0,65.0,0.0,0.0,67.0,0.0,56.49,216000.0,1
1.0,80.6,1.0,82.0,1.0,1.0,77.6,0.0,0.0,91.0,0.0,74.49,400000.0,1
1.0,58.0,1.0,60.0,1.0,2.0,72.0,2.0,0.0,74.0,0.0,53.62,275000.0,1
1.0,67.0,1.0,67.0,1.0,1.0,73.0,0.0,1.0,59.0,0.0,69.72,295000.0,1
0.0,74.0,1.0,66.0,1.0,1.0,58.0,0.0,0.0,70.0,1.0,60.23,204000.0,1
1.0,62.0,0.0,58.0,1.0,2.0,53.0,0.0,0.0,89.0,1.0,60.22,288655.4054054054,0
